IDTransaction,IDProduit,IDClient,Quantite,MontantVente,DateTransaction
1,1,1,2,600000,01/04/2023
2,2,2,1,deux cents mille,02/04/2023
,3,3,3,,03/04/2023
4,4,4,1,100000,04/04/2023
5,5,5,4,1600000,05/04/2023
6,6,6,2,800000,06/04/2023
7,7,7,3,cent mille,07/04/2023
8,8,8,1,300000,08/04/2023
9,9,9,2,500000,09/04/2023
,10,10,3,1500000,10/04/2023
11,11,11,4,quatre cents mille,11/04/2023
12,12,12,1,600000,12/04/2023
13,13,13,2,800000,13/04/2023
14,14,14,3,750000,14/04/2023
15,15,15,4,1200000,15/04/2023
16,16,16,1,450000,16/04/2023
17,17,17,2,700000,17/04/2023
18,18,18,3,350000,18/04/2023
19,19,19,4,900000,19/04/2023
20,20,20,1,200000,20/04/2023
21,21,21,2,1000000,21/04/2023
22,22,22,3,six cents mille,22/04/2023
23,23,23,4,150000,23/04/2023
24,24,24,3,750000,24/04/2023
25,25,25,4,1600000,25/04/2023
26,26,26,1,200000,26/04/2023
27,27,27,2,600000,27/04/2023
28,28,28,3,450000,28/04/2023
29,29,29,1,300000,29/04/2023
30,30,30,2,500000,30/04/2023
31,31,31,3,1500000,01/05/2023
32,32,32,4,400000,02/05/2023
33,33,33,1,600000,03/05/2023
34,34,34,2,800000,04/05/2023
35,35,35,3,750000,05/05/2023
36,36,36,4,1200000,06/05/2023
37,37,37,1,450000,07/05/2023
38,38,38,2,700000,08/05/2023
39,39,39,3,350000,09/05/2023
40,40,40,4,900000,10/05/2023
41,41,41,1,200000,11/05/2023
42,42,42,2,1000000,12/05/2023
43,43,43,3,600000,13/05/2023
44,44,44,4,150000,14/05/2023
45,45,45,1,100000,15/05/2023
46,46,46,2,800000,16/05/2023
47,47,47,3,450000,17/05/2023
48,48,48,4,1600000,18/05/2023
49,49,49,1,300000,19/05/2023
50,50,50,2,500000,20/05/2023
51,51,51,3,1500000,21/05/2023
52,52,52,4,400000,22/05/2023
